Date,Rank,Title,Type,Netflix Release Date,Days In Top 10
4/9/2020,8,Legacies,TV Show,5-Apr-19,3
4/9/2020,9,Nailed It!,TV Show,9-Mar-18,8
4/9/2020,10,The Hangover,Movie,1-Jul-19,3
4/10/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,18
4/10/2020,2,Ozark,TV Show,21-Jul-17,14
4/10/2020,3,The Big Show Show,TV Show,6-Apr-20,4
4/10/2020,4,Angel Has Fallen,Movie,4-Apr-20,6
4/10/2020,5,Money Heist,TV Show,20-Dec-17,7
4/10/2020,6,All American,TV Show,28-Mar-19,18
4/10/2020,7,Coffee & Kareem,Movie,3-Apr-20,7
4/10/2020,8,Legacies,TV Show,5-Apr-19,4
4/10/2020,9,Nailed It!,TV Show,9-Mar-18,9
4/10/2020,10,Community,TV Show,1-Apr-20,1
4/11/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,19
4/11/2020,2,Ozark,TV Show,21-Jul-17,15
4/11/2020,3,Angel Has Fallen,Movie,4-Apr-20,7
4/11/2020,4,The Big Show Show,TV Show,6-Apr-20,5
4/11/2020,5,Money Heist,TV Show,20-Dec-17,8
4/11/2020,6,Love Wedding Repeat,Movie,10-Apr-20,1
4/11/2020,7,All American,TV Show,28-Mar-19,19
4/11/2020,8,Coffee & Kareem,Movie,3-Apr-20,8
4/11/2020,9,Legacies,TV Show,5-Apr-19,5
4/11/2020,10,Nailed It!,TV Show,9-Mar-18,10
4/12/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,20
4/12/2020,2,Ozark,TV Show,21-Jul-17,16
4/12/2020,3,Love Wedding Repeat,Movie,10-Apr-20,2
4/12/2020,4,Angel Has Fallen,Movie,4-Apr-20,8
4/12/2020,5,The Big Show Show,TV Show,6-Apr-20,6
4/12/2020,6,Money Heist,TV Show,20-Dec-17,9
4/12/2020,7,Code 8,Movie,11-Apr-20,1
4/12/2020,8,All American,TV Show,28-Mar-19,20
4/12/2020,9,Legacies,TV Show,5-Apr-19,6
4/12/2020,10,Community,TV Show,1-Apr-20,2
4/13/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,21
4/13/2020,2,Code 8,Movie,11-Apr-20,2
4/13/2020,3,Ozark,TV Show,21-Jul-17,17
4/13/2020,4,Angel Has Fallen,Movie,4-Apr-20,9
4/13/2020,5,Love Wedding Repeat,Movie,10-Apr-20,3
4/13/2020,6,Money Heist,TV Show,20-Dec-17,10
4/13/2020,7,Hop,Movie,16-Jan-20,1
4/13/2020,8,The Big Show Show,TV Show,6-Apr-20,7
4/13/2020,9,All American,TV Show,28-Mar-19,21
4/13/2020,10,The Main Event,Movie,10-Apr-20,1
4/14/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,22
4/14/2020,2,Ozark,TV Show,21-Jul-17,18
4/14/2020,3,Code 8,Movie,11-Apr-20,3
4/14/2020,4,Money Heist,TV Show,20-Dec-17,11
4/14/2020,5,All American,TV Show,28-Mar-19,22
4/14/2020,6,Love Wedding Repeat,Movie,10-Apr-20,4
4/14/2020,7,The Big Show Show,TV Show,6-Apr-20,8
4/14/2020,8,The Main Event,Movie,10-Apr-20,2
4/14/2020,9,Angel Has Fallen,Movie,4-Apr-20,10
4/14/2020,10,Legacies,TV Show,5-Apr-19,7
4/15/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,23
4/15/2020,2,Ozark,TV Show,21-Jul-17,19
4/15/2020,3,Code 8,Movie,11-Apr-20,4
4/15/2020,4,Chris D'Elia: No Pain,Stand-Up Comedy,14-Apr-20,1
4/15/2020,5,Money Heist,TV Show,20-Dec-17,12
4/15/2020,6,All American,TV Show,28-Mar-19,23
4/15/2020,7,The Big Show Show,TV Show,6-Apr-20,9
4/15/2020,8,Love Wedding Repeat,Movie,10-Apr-20,5
4/15/2020,9,The Main Event,Movie,10-Apr-20,3
4/15/2020,10,Angel Has Fallen,Movie,4-Apr-20,11
4/16/2020,1,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,24
4/16/2020,2,Ozark,TV Show,21-Jul-17,20
4/16/2020,3,Code 8,Movie,11-Apr-20,5
4/16/2020,4,Chris D'Elia: No Pain,Stand-Up Comedy,14-Apr-20,2
4/16/2020,5,The Innocence Files,TV Show,15-Apr-20,1
4/16/2020,6,Outer Banks,TV Show,15-Apr-20,1
4/16/2020,7,All American,TV Show,28-Mar-19,24
4/16/2020,8,Money Heist,TV Show,20-Dec-17,13
4/16/2020,9,The Big Show Show,TV Show,6-Apr-20,10
4/16/2020,10,Angel Has Fallen,Movie,4-Apr-20,12
4/17/2020,1,Despicable Me,Movie,16-Apr-20,1
4/17/2020,2,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,25
4/17/2020,3,Outer Banks,TV Show,15-Apr-20,2
4/17/2020,4,Ozark,TV Show,21-Jul-17,21
4/17/2020,5,The Innocence Files,TV Show,15-Apr-20,2
4/17/2020,6,Code 8,Movie,11-Apr-20,6
4/17/2020,7,All American,TV Show,28-Mar-19,25
4/17/2020,8,Money Heist,TV Show,20-Dec-17,14
4/17/2020,9,Chris D'Elia: No Pain,Stand-Up Comedy,14-Apr-20,3
4/17/2020,10,The Big Show Show,TV Show,6-Apr-20,11
4/18/2020,1,Despicable Me,Movie,16-Apr-20,2
4/18/2020,2,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,26
4/18/2020,3,Outer Banks,TV Show,15-Apr-20,3
4/18/2020,4,Ozark,TV Show,21-Jul-17,22
4/18/2020,5,Too Hot to Handle,TV Show,17-Apr-20,1
4/18/2020,6, #black,TV Show,17-Apr-20,1
4/18/2020,7,Code 8,Movie,11-Apr-20,7
4/18/2020,8,The Innocence Files,TV Show,15-Apr-20,3
4/18/2020,9,All American,TV Show,28-Mar-19,26
4/18/2020,10,Money Heist,TV Show,20-Dec-17,15
4/19/2020,1,Despicable Me,Movie,16-Apr-20,3
4/19/2020,2,Too Hot to Handle,TV Show,17-Apr-20,2
4/19/2020,3,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,27
4/19/2020,4,Outer Banks,TV Show,15-Apr-20,4
4/19/2020,5, #black,TV Show,17-Apr-20,2
4/19/2020,6,Ozark,TV Show,21-Jul-17,23
4/19/2020,7,The Innocence Files,TV Show,15-Apr-20,4
4/19/2020,8,Code 8,Movie,11-Apr-20,8
4/19/2020,9,Waco,TV Show,16-Apr-20,1
4/19/2020,10,Money Heist,TV Show,20-Dec-17,16
4/20/2020,1,Despicable Me,Movie,16-Apr-20,4
4/20/2020,2,Too Hot to Handle,TV Show,17-Apr-20,3
4/20/2020,3,Outer Banks,TV Show,15-Apr-20,5
4/20/2020,4,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,28
4/20/2020,5, #black,TV Show,17-Apr-20,3
4/20/2020,6,Ozark,TV Show,21-Jul-17,24
4/20/2020,7,Waco,TV Show,16-Apr-20,2
4/20/2020,8,The Innocence Files,TV Show,15-Apr-20,5
4/20/2020,9,Code 8,Movie,11-Apr-20,9
4/20/2020,10,The Green Hornet,Movie,18-Apr-20,1
4/21/2020,1,Too Hot to Handle,TV Show,17-Apr-20,4
4/21/2020,2,Outer Banks,TV Show,15-Apr-20,6
4/21/2020,3,Despicable Me,Movie,16-Apr-20,5
4/21/2020,4,Waco,TV Show,16-Apr-20,3
4/21/2020,5,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,29
4/21/2020,6, #black,TV Show,17-Apr-20,4
4/21/2020,7,Ozark,TV Show,21-Jul-17,25
4/21/2020,8,The Innocence Files,TV Show,15-Apr-20,6
4/21/2020,9,All American,TV Show,28-Mar-19,27
4/21/2020,10,The Green Hornet,Movie,18-Apr-20,2
4/22/2020,1,Too Hot to Handle,TV Show,17-Apr-20,5
4/22/2020,2,Outer Banks,TV Show,15-Apr-20,7
4/22/2020,3,Despicable Me,Movie,16-Apr-20,6
4/22/2020,4,Waco,TV Show,16-Apr-20,4
4/22/2020,5, #black,TV Show,17-Apr-20,5
4/22/2020,6,Tiger King: Murder  Mayhem …,TV Show,20-Mar-20,30
4/22/2020,7,Ozark,TV Show,21-Jul-17,26
4/22/2020,8,All American,TV Show,28-Mar-19,28
4/22/2020,9,The Innocence Files,TV Show,15-Apr-20,7
4/22/2020,10,Cooked with Cannabis,TV Show,20-Apr-20,1
4/23/2020,1,Too Hot to Handle,TV Show,17-Apr-20,6
4/23/2020,2,Outer Banks,TV Show,15-Apr-20,8
4/23/2020,3,Waco,TV Show,16-Apr-20,5
4/23/2020,4,The Willoughbys,Movie,22-Apr-20,1
4/23/2020,5,Despicable Me,Movie,16-Apr-20,7
