Date,Rank,Title,Type,Netflix Release Date,Days In Top 10
8/2/2020,4,The Last Dance,TV Show,19-Jul-20,14
8/2/2020,5,Animal Crackers,Movie,24-Jul-20,9
8/2/2020,6,Last Chance U,TV Show,29-Jul-16,5
8/2/2020,7,Zookeeper,Movie,26-Jul-20,3
8/2/2020,8,Sugar Rush,TV Show,13-Jul-18,2
8/2/2020,9,Cursed,TV Show,17-Jul-20,16
8/2/2020,10,Moesha,TV Show,1-Aug-20,1
8/3/2020,1,The Umbrella Academy,TV Show,15-Feb-19,3
8/3/2020,2,Shameless,TV Show,30-Jun-16,8
8/3/2020,3,Rogue Warfare: The Hunt,Movie,1-Aug-20,1
8/3/2020,4,The Last Dance,TV Show,19-Jul-20,15
8/3/2020,5,The Kissing Booth 2,Movie,24-Jul-20,10
8/3/2020,6,Moesha,TV Show,1-Aug-20,2
8/3/2020,7,Sugar Rush,TV Show,13-Jul-18,3
8/3/2020,8,Animal Crackers,Movie,24-Jul-20,10
8/3/2020,9,Last Chance U,TV Show,29-Jul-16,6
8/3/2020,10,Cursed,TV Show,17-Jul-20,17
8/4/2020,1,The Umbrella Academy,TV Show,15-Feb-19,4
8/4/2020,2,Shameless,TV Show,30-Jun-16,9
8/4/2020,3,Sugar Rush,TV Show,13-Jul-18,4
8/4/2020,4,The Last Dance,TV Show,19-Jul-20,16
8/4/2020,5,Moesha,TV Show,1-Aug-20,3
8/4/2020,6,The Kissing Booth 2,Movie,24-Jul-20,11
8/4/2020,7,Latte & the Magic Waterstone,Movie,31-Jul-20,1
8/4/2020,8,Immigration Nation,TV Show,3-Aug-20,1
8/4/2020,9,Rogue Warfare: The Hunt,Movie,1-Aug-20,2
8/4/2020,10,Animal Crackers,Movie,24-Jul-20,11
8/5/2020,1,The Umbrella Academy,TV Show,15-Feb-19,5
8/5/2020,2,Shameless,TV Show,30-Jun-16,10
8/5/2020,3,Immigration Nation,TV Show,3-Aug-20,2
8/5/2020,4,Malibu Rescue: The Next Wave,Movie,3-Aug-20,1
8/5/2020,5,Sugar Rush,TV Show,13-Jul-18,5
8/5/2020,6,The Last Dance,TV Show,19-Jul-20,17
8/5/2020,7,Jurassic Park,Movie,1-Aug-20,1
8/5/2020,8,Moesha,TV Show,1-Aug-20,4
8/5/2020,9,The Kissing Booth 2,Movie,24-Jul-20,12
8/5/2020,10,Latte & the Magic Waterstone,Movie,31-Jul-20,2
8/6/2020,1,The Umbrella Academy,TV Show,15-Feb-19,6
8/6/2020,2,Shameless,TV Show,30-Jun-16,11
8/6/2020,3,World's Most Wanted,TV Show,5-Aug-20,1
8/6/2020,4,Malibu Rescue: The Next Wave,Movie,3-Aug-20,2
8/6/2020,5,Immigration Nation,TV Show,3-Aug-20,3
8/6/2020,6,Jurassic Park,Movie,1-Aug-20,2
8/6/2020,7,Sugar Rush,TV Show,13-Jul-18,6
8/6/2020,8,Dennis the Menace,Movie,1-Aug-20,1
8/6/2020,9,The Last Dance,TV Show,19-Jul-20,18
8/6/2020,10,Moesha,TV Show,1-Aug-20,5
8/7/2020,1,The Umbrella Academy,TV Show,15-Feb-19,7
8/7/2020,2,World's Most Wanted,TV Show,5-Aug-20,2
8/7/2020,3,The Seven Deadly Sins,TV Show,1-Nov-15,1
8/7/2020,4,Shameless,TV Show,30-Jun-16,12
8/7/2020,5,Dennis the Menace,Movie,1-Aug-20,2
8/7/2020,6,Jurassic Park,Movie,1-Aug-20,3
8/7/2020,7,Malibu Rescue: The Next Wave,Movie,3-Aug-20,3
8/7/2020,8,Immigration Nation,TV Show,3-Aug-20,4
8/7/2020,9,Sugar Rush,TV Show,13-Jul-18,7
8/7/2020,10,The Last Dance,TV Show,19-Jul-20,19
8/8/2020,1,The Umbrella Academy,TV Show,15-Feb-19,8
8/8/2020,2,World's Most Wanted,TV Show,5-Aug-20,3
8/8/2020,3,The Seven Deadly Sins,TV Show,1-Nov-15,2
8/8/2020,4,Work It,Movie,7-Aug-20,1
8/8/2020,5,Shameless,TV Show,30-Jun-16,13
8/8/2020,6,Wizards: Tales of Arcadia,TV Show,7-Aug-20,1
8/8/2020,7,Selling Sunset,TV Show,22-Mar-19,1
8/8/2020,8,Dennis the Menace,Movie,1-Aug-20,3
8/8/2020,9,Jurassic Park,Movie,1-Aug-20,4
8/8/2020,10,The Last Dance,TV Show,19-Jul-20,20
8/9/2020,1,The Umbrella Academy,TV Show,15-Feb-19,9
8/9/2020,2,World's Most Wanted,TV Show,5-Aug-20,4
8/9/2020,3,The Seven Deadly Sins,TV Show,1-Nov-15,3
8/9/2020,4,Work It,Movie,7-Aug-20,2
8/9/2020,5,Shameless,TV Show,30-Jun-16,14
8/9/2020,6,Wizards: Tales of Arcadia,TV Show,7-Aug-20,2
8/9/2020,7,Selling Sunset,TV Show,22-Mar-19,2
8/9/2020,8,Dennis the Menace,Movie,1-Aug-20,4
8/9/2020,9,Jurassic Park,Movie,1-Aug-20,5
8/9/2020,10,The Last Dance,TV Show,19-Jul-20,21
8/10/2020,1,The Umbrella Academy,TV Show,15-Feb-19,10
8/10/2020,2,World's Most Wanted,TV Show,5-Aug-20,5
8/10/2020,3,Work It,Movie,7-Aug-20,3
8/10/2020,4,The Seven Deadly Sins,TV Show,1-Nov-15,4
8/10/2020,5,Shameless,TV Show,30-Jun-16,15
8/10/2020,6,Wizards: Tales of Arcadia,TV Show,7-Aug-20,3
8/10/2020,7,Selling Sunset,TV Show,22-Mar-19,3
8/10/2020,8,Dennis the Menace,Movie,1-Aug-20,5
8/10/2020,9,Jurassic Park,Movie,1-Aug-20,6
8/10/2020,10,The Last Dance,TV Show,19-Jul-20,22
8/11/2020,1,The Umbrella Academy,TV Show,15-Feb-19,11
8/11/2020,2,The Lost Husband,Movie,10-Aug-20,1
8/11/2020,3,World's Most Wanted,TV Show,5-Aug-20,6
8/11/2020,4,Work It,Movie,7-Aug-20,4
8/11/2020,5,The Seven Deadly Sins,TV Show,1-Nov-15,5
8/11/2020,6,Shameless,TV Show,30-Jun-16,16
8/11/2020,7,Wizards: Tales of Arcadia,TV Show,7-Aug-20,4
8/11/2020,8,Selling Sunset,TV Show,22-Mar-19,4
8/11/2020,9,Dennis the Menace,Movie,1-Aug-20,6
8/11/2020,10,Game On: A Comedy Crossover…,TV Show,10-Aug-20,1
8/12/2020,1,The Lost Husband,Movie,10-Aug-20,2
8/12/2020,2,The Umbrella Academy,TV Show,15-Feb-19,12
8/12/2020,3,World's Most Wanted,TV Show,5-Aug-20,7
8/12/2020,4,The Seven Deadly Sins,TV Show,1-Nov-15,6
8/12/2020,5,Work It,Movie,7-Aug-20,5
8/12/2020,6,Shameless,TV Show,30-Jun-16,17
8/12/2020,7,Game On: A Comedy Crossover…,TV Show,10-Aug-20,2
8/12/2020,8,Wizards: Tales of Arcadia,TV Show,7-Aug-20,5
8/12/2020,9,Selling Sunset,TV Show,22-Mar-19,5
8/12/2020,10,Dennis the Menace,Movie,1-Aug-20,7
8/13/2020,1,The Lost Husband,Movie,10-Aug-20,3
8/13/2020,2,The Umbrella Academy,TV Show,15-Feb-19,13
8/13/2020,3,World's Most Wanted,TV Show,5-Aug-20,8
8/13/2020,4,The Seven Deadly Sins,TV Show,1-Nov-15,7
8/13/2020,5,Shameless,TV Show,30-Jun-16,18
8/13/2020,6,Work It,Movie,7-Aug-20,6
8/13/2020,7,Selling Sunset,TV Show,22-Mar-19,6
8/13/2020,8,Dennis the Menace,Movie,1-Aug-20,8
8/13/2020,9,Wizards: Tales of Arcadia,TV Show,7-Aug-20,6
8/13/2020,10,Mr. Peabody & Sherman,Movie,11-Aug-20,1
8/14/2020,1,The Lost Husband,Movie,10-Aug-20,4
8/14/2020,2,The Umbrella Academy,TV Show,15-Feb-19,14
8/14/2020,3,Mr. Peabody & Sherman,Movie,11-Aug-20,2
8/14/2020,4,World's Most Wanted,TV Show,5-Aug-20,9
8/14/2020,5,The Seven Deadly Sins,TV Show,1-Nov-15,8
8/14/2020,6,Shameless,TV Show,30-Jun-16,19
8/14/2020,7,(Un)Well,TV Show,12-Aug-20,1
8/14/2020,8,Work It,Movie,7-Aug-20,7
8/14/2020,9,Selling Sunset,TV Show,22-Mar-19,7
8/14/2020,10,Dennis the Menace,Movie,1-Aug-20,9
8/15/2020,1,Project Power,Movie,14-Aug-20,1
8/15/2020,2,The Lost Husband,Movie,10-Aug-20,5
8/15/2020,3,The Umbrella Academy,TV Show,15-Feb-19,15
8/15/2020,4,Mr. Peabody & Sherman,Movie,11-Aug-20,3
8/15/2020,5,The Legend of Korra,TV Show,14-Aug-20,1
8/15/2020,6,The Seven Deadly Sins,TV Show,1-Nov-15,9
8/15/2020,7,(Un)Well,TV Show,12-Aug-20,2
8/15/2020,8,Shameless,TV Show,30-Jun-16,20
8/15/2020,9,Teenage Bounty Hunters,TV Show,14-Aug-20,1
8/15/2020,10,World's Most Wanted,TV Show,5-Aug-20,10
8/16/2020,1,Project Power,Movie,14-Aug-20,2
8/16/2020,2,The Legend of Korra,TV Show,14-Aug-20,2
8/16/2020,3,The Lost Husband,Movie,10-Aug-20,6
8/16/2020,4,The Umbrella Academy,TV Show,15-Feb-19,16
8/16/2020,5,Mr. Peabody & Sherman,Movie,11-Aug-20,4
8/16/2020,6,Teenage Bounty Hunters,TV Show,14-Aug-20,2
8/16/2020,7,(Un)Well,TV Show,12-Aug-20,3
8/16/2020,8,World's Most Wanted,TV Show,5-Aug-20,11
8/16/2020,9,Shameless,TV Show,30-Jun-16,21
8/16/2020,10,The Seven Deadly Sins,TV Show,1-Nov-15,10
8/17/2020,1,Project Power,Movie,14-Aug-20,3
8/17/2020,2,The Legend of Korra,TV Show,14-Aug-20,3
8/17/2020,3,The Lost Husband,Movie,10-Aug-20,7
8/17/2020,4,The Umbrella Academy,TV Show,15-Feb-19,17
8/17/2020,5,Teenage Bounty Hunters,TV Show,14-Aug-20,3
8/17/2020,6,Mr. Peabody & Sherman,Movie,11-Aug-20,5
8/17/2020,7,(Un)Well,TV Show,12-Aug-20,4
8/17/2020,8,Shameless,TV Show,30-Jun-16,22
8/17/2020,9,World's Most Wanted,TV Show,5-Aug-20,12
8/17/2020,10,The Seven Deadly Sins,TV Show,1-Nov-15,11
8/18/2020,1,Project Power,Movie,14-Aug-20,4
8/18/2020,2,The Legend of Korra,TV Show,14-Aug-20,4
8/18/2020,3,The Umbrella Academy,TV Show,15-Feb-19,18
8/18/2020,4,Teenage Bounty Hunters,TV Show,14-Aug-20,4
8/18/2020,5,Mr. Peabody & Sherman,Movie,11-Aug-20,6
8/18/2020,6,The Lost Husband,Movie,10-Aug-20,8
8/18/2020,7,(Un)Well,TV Show,12-Aug-20,5
8/18/2020,8,Shameless,TV Show,30-Jun-16,23
8/18/2020,9,The Seven Deadly Sins,TV Show,1-Nov-15,12
8/18/2020,10,Glow Up,TV Show,6-Dec-19,1
8/19/2020,1,Project Power,Movie,14-Aug-20,5
8/19/2020,2,The Legend of Korra,TV Show,14-Aug-20,5
8/19/2020,3,The Umbrella Academy,TV Show,15-Feb-19,19
8/19/2020,4,Teenage Bounty Hunters,TV Show,14-Aug-20,5
8/19/2020,5,Mr. Peabody & Sherman,Movie,11-Aug-20,7
8/19/2020,6,The Lost Husband,Movie,10-Aug-20,9
8/19/2020,7,(Un)Well,TV Show,12-Aug-20,6
8/19/2020,8,Shameless,TV Show,30-Jun-16,24
8/19/2020,9,The Game,TV Show,15-Sep-14,1
8/19/2020,10,Glow Up,TV Show,6-Dec-19,2
8/20/2020,1,Project Power,Movie,14-Aug-20,6
8/20/2020,2,The Legend of Korra,TV Show,14-Aug-20,6
8/20/2020,3,The Umbrella Academy,TV Show,15-Feb-19,20
8/20/2020,4,Teenage Bounty Hunters,TV Show,14-Aug-20,6
8/20/2020,5,Mr. Peabody & Sherman,Movie,11-Aug-20,8
8/20/2020,6,High Score,TV Show,19-Aug-20,1
8/20/2020,7,The Lost Husband,Movie,10-Aug-20,10
8/20/2020,8,The Game,TV Show,15-Sep-14,2
8/20/2020,9,Shameless,TV Show,30-Jun-16,25
8/20/2020,10,Drunk Parents,Movie,17-Aug-20,1
8/21/2020,1,Project Power,Movie,14-Aug-20,7
8/21/2020,2,The Legend of Korra,TV Show,14-Aug-20,7
8/21/2020,3,The Umbrella Academy,TV Show,15-Feb-19,21
8/21/2020,4,Teenage Bounty Hunters,TV Show,14-Aug-20,7
8/21/2020,5,High Score,TV Show,19-Aug-20,2
8/21/2020,6,Mr. Peabody & Sherman,Movie,11-Aug-20,9
8/21/2020,7,Drunk Parents,Movie,17-Aug-20,2
8/21/2020,8,The Game,TV Show,15-Sep-14,3
8/21/2020,9,The Lost Husband,Movie,10-Aug-20,11
8/21/2020,10,Shameless,TV Show,30-Jun-16,26
8/22/2020,1,Lucifer,TV Show,15-Dec-18,1
8/22/2020,2,Project Power,Movie,14-Aug-20,8
8/22/2020,3,The Legend of Korra,TV Show,14-Aug-20,8
8/22/2020,4,Drunk Parents,Movie,17-Aug-20,3
8/22/2020,5,The Umbrella Academy,TV Show,15-Feb-19,22
8/22/2020,6,High Score,TV Show,19-Aug-20,3
8/22/2020,7,The Sleepover,Movie,21-Aug-20,1
8/22/2020,8,Mr. Peabody & Sherman,Movie,11-Aug-20,10
8/22/2020,9,Teenage Bounty Hunters,TV Show,14-Aug-20,8
8/22/2020,10,Rust Valley Restorers,TV Show,23-Aug-19,1
8/23/2020,1,Lucifer,TV Show,15-Dec-18,2
8/23/2020,2,Project Power,Movie,14-Aug-20,9
8/23/2020,3,The Sleepover,Movie,21-Aug-20,2
8/23/2020,4,Drunk Parents,Movie,17-Aug-20,4
8/23/2020,5,The Legend of Korra,TV Show,14-Aug-20,9
8/23/2020,6,The Umbrella Academy,TV Show,15-Feb-19,23
8/23/2020,7,High Score,TV Show,19-Aug-20,4
8/23/2020,8,Mr. Peabody & Sherman,Movie,11-Aug-20,11
8/23/2020,9,Hoops,TV Show,21-Aug-20,1
8/23/2020,10,Rust Valley Restorers,TV Show,23-Aug-19,2
8/24/2020,1,Lucifer,TV Show,15-Dec-18,3
8/24/2020,2,Project Power,Movie,14-Aug-20,10
8/24/2020,3,Drunk Parents,Movie,17-Aug-20,5
8/24/2020,4,The Sleepover,Movie,21-Aug-20,3
8/24/2020,5,The Umbrella Academy,TV Show,15-Feb-19,24
8/24/2020,6,The Legend of Korra,TV Show,14-Aug-20,10
8/24/2020,7,High Score,TV Show,19-Aug-20,5
8/24/2020,8,Hoops,TV Show,21-Aug-20,2
8/24/2020,9,Mr. Peabody & Sherman,Movie,11-Aug-20,12
8/24/2020,10,Rust Valley Restorers,TV Show,23-Aug-19,3
8/25/2020,1,Lucifer,TV Show,15-Dec-18,4
8/25/2020,2,Project Power,Movie,14-Aug-20,11
8/25/2020,3,Drunk Parents,Movie,17-Aug-20,6
8/25/2020,4,The Umbrella Academy,TV Show,15-Feb-19,25
8/25/2020,5,Hoops,TV Show,21-Aug-20,3
8/25/2020,6,The Sleepover,Movie,21-Aug-20,4
8/25/2020,7,The Legend of Korra,TV Show,14-Aug-20,11
8/25/2020,8,1BR,Movie,23-Aug-20,1
8/25/2020,9,High Score,TV Show,19-Aug-20,6
8/25/2020,10,Mr. Peabody & Sherman,Movie,11-Aug-20,13
8/26/2020,1,Lucifer,TV Show,15-Dec-18,5
8/26/2020,2,The Umbrella Academy,TV Show,15-Feb-19,26
8/26/2020,3,Hoops,TV Show,21-Aug-20,4
8/26/2020,4,Project Power,Movie,14-Aug-20,12
8/26/2020,5,Drunk Parents,Movie,17-Aug-20,7
8/26/2020,6,The Legend of Korra,TV Show,14-Aug-20,12
8/26/2020,7,The Sleepover,Movie,21-Aug-20,5
8/26/2020,8,1BR,Movie,23-Aug-20,2
8/26/2020,9,Trinkets,TV Show,14-Jun-19,1
8/26/2020,10,High Score,TV Show,19-Aug-20,7
8/27/2020,1,Lucifer,TV Show,15-Dec-18,6
8/27/2020,2,Hoops,TV Show,21-Aug-20,5
8/27/2020,3,The Umbrella Academy,TV Show,15-Feb-19,27
8/27/2020,4,Project Power,Movie,14-Aug-20,13
8/27/2020,5,Million Dollar Beach House,TV Show,26-Aug-20,1
8/27/2020,6,Trinkets,TV Show,14-Jun-19,2
8/27/2020,7,1BR,Movie,23-Aug-20,3
8/27/2020,8,The Legend of Korra,TV Show,14-Aug-20,13
8/27/2020,9,Drunk Parents,Movie,17-Aug-20,8
8/27/2020,10,The Sleepover,Movie,21-Aug-20,6
8/28/2020,1,Lucifer,TV Show,15-Dec-18,7
8/28/2020,2,Million Dollar Beach House,TV Show,26-Aug-20,2
8/28/2020,3,Hoops,TV Show,21-Aug-20,6
8/28/2020,4,Bunk'd,TV Show,19-Jun-16,1
8/28/2020,5,The Umbrella Academy,TV Show,15-Feb-19,28
8/28/2020,6,1BR,Movie,23-Aug-20,4
8/28/2020,7,Project Power,Movie,14-Aug-20,14
8/28/2020,8,Trinkets,TV Show,14-Jun-19,3
8/28/2020,9,Cocomelon,TV Show,1-Jun-20,1
8/28/2020,10,The Legend of Korra,TV Show,14-Aug-20,14
8/29/2020,1,Cobra Kai,TV Show,28-Aug-20,1
8/29/2020,2,Lucifer,TV Show,15-Dec-18,8
8/29/2020,3,Million Dollar Beach House,TV Show,26-Aug-20,3
8/29/2020,4,I Am a Killer Released,TV Show,28-Aug-20,1
8/29/2020,5,Bunk'd,TV Show,19-Jun-16,2
8/29/2020,6,Hoops,TV Show,21-Aug-20,7
8/29/2020,7,The Umbrella Academy,TV Show,15-Feb-19,29
8/29/2020,8,Project Power,Movie,14-Aug-20,15
8/29/2020,9,Cocomelon,TV Show,1-Jun-20,2
8/29/2020,10,1BR,Movie,23-Aug-20,5
8/30/2020,1,Cobra Kai,TV Show,28-Aug-20,2
8/30/2020,2,Lucifer,TV Show,15-Dec-18,9
8/30/2020,3,I Am a Killer Released,TV Show,28-Aug-20,2
8/30/2020,4,Million Dollar Beach House,TV Show,26-Aug-20,4
8/30/2020,5,The Frozen Ground,Movie,27-Aug-20,1
8/30/2020,6,Bunk'd,TV Show,19-Jun-16,3
8/30/2020,7,The Umbrella Academy,TV Show,15-Feb-19,30
8/30/2020,8,Project Power,Movie,14-Aug-20,16
8/30/2020,9,Cocomelon,TV Show,1-Jun-20,3
8/30/2020,10,Hoops,TV Show,21-Aug-20,8
8/31/2020,1,Cobra Kai,TV Show,28-Aug-20,3
8/31/2020,2,The Frozen Ground,Movie,27-Aug-20,2
8/31/2020,3,Lucifer,TV Show,15-Dec-18,10
8/31/2020,4,I Am a Killer Released,TV Show,28-Aug-20,3
8/31/2020,5,Million Dollar Beach House,TV Show,26-Aug-20,5
8/31/2020,6,The Umbrella Academy,TV Show,15-Feb-19,31
8/31/2020,7,Project Power,Movie,14-Aug-20,17
8/31/2020,8,Bunk'd,TV Show,19-Jun-16,4
8/31/2020,9,Cocomelon,TV Show,1-Jun-20,4
8/31/2020,10,Hoops,TV Show,21-Aug-20,9
9/1/2020,1,Cobra Kai,TV Show,28-Aug-20,4
9/1/2020,2,The Frozen Ground,Movie,27-Aug-20,3
9/1/2020,3,Lucifer,TV Show,15-Dec-18,11
9/1/2020,4,Million Dollar Beach House,TV Show,26-Aug-20,6
9/1/2020,5,I Am a Killer Released,TV Show,28-Aug-20,4
9/1/2020,6,Cocomelon,TV Show,1-Jun-20,5
9/1/2020,7,The Umbrella Academy,TV Show,15-Feb-19,32
9/1/2020,8,Bunk'd,TV Show,19-Jun-16,5
9/1/2020,9,Quantum of Solace,Movie,31-Aug-20,1
9/1/2020,10,Hoops,TV Show,21-Aug-20,10
9/2/2020,1,Cobra Kai,TV Show,28-Aug-20,5
9/2/2020,2,The Smurfs,Movie,1-Sep-20,1
9/2/2020,3,Sister  Sister,TV Show,1-Sep-20,1
9/2/2020,4,Lucifer,TV Show,15-Dec-18,12
9/2/2020,5,The Frozen Ground,Movie,27-Aug-20,4
9/2/2020,6,Quantum of Solace,Movie,31-Aug-20,2
9/2/2020,7,Cocomelon,TV Show,1-Jun-20,6
9/2/2020,8,Million Dollar Beach House,TV Show,26-Aug-20,7
9/2/2020,9,The Umbrella Academy,TV Show,15-Feb-19,33
9/2/2020,10,Due Date,Movie,1-Sep-20,1
9/3/2020,1,Cobra Kai,TV Show,28-Aug-20,6
9/3/2020,2,The Smurfs,Movie,1-Sep-20,2
9/3/2020,3,Sister  Sister,TV Show,1-Sep-20,2
9/3/2020,4,Due Date,Movie,1-Sep-20,2
9/3/2020,5,Lucifer,TV Show,15-Dec-18,13
9/3/2020,6,The Frozen Ground,Movie,27-Aug-20,5
9/3/2020,7,The Boss Baby: Get That Baby,Movie,1-Sep-20,1
9/3/2020,8,Cocomelon,TV Show,1-Jun-20,7
9/3/2020,9,Chef's Table: BBQ,TV Show,2-Sep-20,1
9/3/2020,10,The Umbrella Academy,TV Show,15-Feb-19,34
9/4/2020,1,Cobra Kai,TV Show,28-Aug-20,7
9/4/2020,2,The Smurfs,Movie,1-Sep-20,3
9/4/2020,3,Love  Guaranteed,Movie,3-Sep-20,1
9/4/2020,4,Sister  Sister,TV Show,1-Sep-20,3
9/4/2020,5,Due Date,Movie,1-Sep-20,3
9/4/2020,6,Chef's Table: BBQ,TV Show,2-Sep-20,2
9/4/2020,7,Lucifer,TV Show,15-Dec-18,14
9/4/2020,8,The Boss Baby: Get That Baby,Movie,1-Sep-20,2
9/4/2020,9,The Frozen Ground,Movie,27-Aug-20,6
9/4/2020,10,Cocomelon,TV Show,1-Jun-20,8
9/5/2020,1,Cobra Kai,TV Show,28-Aug-20,8
9/5/2020,2,Love  Guaranteed,Movie,3-Sep-20,2
9/5/2020,3,The Smurfs,Movie,1-Sep-20,4
9/5/2020,4,Away,TV Show,4-Sep-20,1
9/5/2020,5,Due Date,Movie,1-Sep-20,4
9/5/2020,6,Sister  Sister,TV Show,1-Sep-20,4
9/5/2020,7,Chef's Table: BBQ,TV Show,2-Sep-20,3
9/5/2020,8,Lucifer,TV Show,15-Dec-18,15
9/5/2020,9,The Boss Baby: Get That Baby,Movie,1-Sep-20,3
9/5/2020,10,Cocomelon,TV Show,1-Jun-20,9
9/6/2020,1,Cobra Kai,TV Show,28-Aug-20,9
9/6/2020,2,Away,TV Show,4-Sep-20,2
9/6/2020,3,Love  Guaranteed,Movie,3-Sep-20,3
9/6/2020,4,The Smurfs,Movie,1-Sep-20,5
9/6/2020,5,Due Date,Movie,1-Sep-20,5
9/6/2020,6,Sister  Sister,TV Show,1-Sep-20,5
9/6/2020,7,Chef's Table: BBQ,TV Show,2-Sep-20,4
9/6/2020,8,The Boss Baby: Get That Baby,Movie,1-Sep-20,4
9/6/2020,9,Lucifer,TV Show,15-Dec-18,16
9/6/2020,10,Cocomelon,TV Show,1-Jun-20,10
9/7/2020,1,Away,TV Show,4-Sep-20,3
9/7/2020,2,Cobra Kai,TV Show,28-Aug-20,10
9/7/2020,3,Love  Guaranteed,Movie,3-Sep-20,4
9/7/2020,4,Due Date,Movie,1-Sep-20,6
9/7/2020,5,The Smurfs,Movie,1-Sep-20,6
9/7/2020,6,Chef's Table: BBQ,TV Show,2-Sep-20,5
9/7/2020,7,Sister  Sister,TV Show,1-Sep-20,6
9/7/2020,8,Lucifer,TV Show,15-Dec-18,17
9/7/2020,9,Anaconda,Movie,1-Sep-20,1
9/7/2020,10,Puss in Boots,Movie,1-Sep-20,1
9/8/2020,1,Away,TV Show,4-Sep-20,4
9/8/2020,2,Cobra Kai,TV Show,28-Aug-20,11
9/8/2020,3,Love  Guaranteed,Movie,3-Sep-20,5
9/8/2020,4,Due Date,Movie,1-Sep-20,7
9/8/2020,5,The Smurfs,Movie,1-Sep-20,7
9/8/2020,6,Chef's Table: BBQ,TV Show,2-Sep-20,6
9/8/2020,7,Sister  Sister,TV Show,1-Sep-20,7
9/8/2020,8,Lucifer,TV Show,15-Dec-18,18
9/8/2020,9,Anaconda,Movie,1-Sep-20,2
9/8/2020,10,Puss in Boots,Movie,1-Sep-20,2
9/9/2020,1,Away,TV Show,4-Sep-20,5
9/9/2020,2,Cobra Kai,TV Show,28-Aug-20,12
9/9/2020,3,Love  Guaranteed,Movie,3-Sep-20,6
9/9/2020,4,#Alive,Movie,8-Sep-20,1
9/9/2020,5,The Smurfs,Movie,1-Sep-20,8
9/9/2020,6,Due Date,Movie,1-Sep-20,8
9/9/2020,7,Sister  Sister,TV Show,1-Sep-20,8
9/9/2020,8,Lucifer,TV Show,15-Dec-18,19
9/9/2020,9,Chef's Table: BBQ,TV Show,2-Sep-20,7
9/9/2020,10,Cocomelon,TV Show,1-Jun-20,11
9/10/2020,1,Away,TV Show,4-Sep-20,6
9/10/2020,2,Cobra Kai,TV Show,28-Aug-20,13
9/10/2020,3,#Alive,Movie,8-Sep-20,2
9/10/2020,4,Get Organized with The Home…,TV Show,9-Sep-20,1
9/10/2020,5,Love  Guaranteed,Movie,3-Sep-20,7
9/10/2020,6,The Smurfs,Movie,1-Sep-20,9
9/10/2020,7,Sister  Sister,TV Show,1-Sep-20,9
9/10/2020,8,Due Date,Movie,1-Sep-20,9
9/10/2020,9,Cocomelon,TV Show,1-Jun-20,12
9/10/2020,10,Lucifer,TV Show,15-Dec-18,20
9/11/2020,1,Away,TV Show,4-Sep-20,7
9/11/2020,2,The Babysitter: Killer Queen,Movie,10-Sep-20,1
9/11/2020,3,Cobra Kai,TV Show,28-Aug-20,14
9/11/2020,4,Get Organized with The Home…,TV Show,9-Sep-20,2
9/11/2020,5,#Alive,Movie,8-Sep-20,3
9/11/2020,6,Cocomelon,TV Show,1-Jun-20,13
9/11/2020,7,Love  Guaranteed,Movie,3-Sep-20,8
9/11/2020,8,Sister  Sister,TV Show,1-Sep-20,10
9/11/2020,9,The Social Dilemma,Movie,9-Sep-20,1
9/11/2020,10,The Smurfs,Movie,1-Sep-20,10
9/12/2020,1,Away,TV Show,4-Sep-20,8
9/12/2020,2,The Babysitter: Killer Queen,Movie,10-Sep-20,2
9/12/2020,3,Cobra Kai,TV Show,28-Aug-20,15
9/12/2020,4,Pets United,Movie,11-Sep-20,1
9/12/2020,5,Get Organized with The Home…,TV Show,9-Sep-20,3
9/12/2020,6,#Alive,Movie,8-Sep-20,4
9/12/2020,7,Girlfriends,TV Show,11-Sep-20,1
9/12/2020,8,Cuties,Movie,9-Sep-20,1
9/12/2020,9,The Social Dilemma,Movie,9-Sep-20,2
9/12/2020,10,Julie and the Phantoms,TV Show,10-Sep-20,1
9/13/2020,1,Away,TV Show,4-Sep-20,9
9/13/2020,2,Pets United,Movie,11-Sep-20,2
9/13/2020,3,The Babysitter: Killer Queen,Movie,10-Sep-20,3
9/13/2020,4,Cobra Kai,TV Show,28-Aug-20,16
9/13/2020,5,Get Organized with The Home…,TV Show,9-Sep-20,4
9/13/2020,6,#Alive,Movie,8-Sep-20,5
9/13/2020,7,The Social Dilemma,Movie,9-Sep-20,3
9/13/2020,8,Cuties,Movie,9-Sep-20,2
9/13/2020,9,Girlfriends,TV Show,11-Sep-20,2
9/13/2020,10,Julie and the Phantoms,TV Show,10-Sep-20,2
9/14/2020,1,Away,TV Show,4-Sep-20,10
9/14/2020,2,Pets United,Movie,11-Sep-20,3
9/14/2020,3,Cobra Kai,TV Show,28-Aug-20,17
9/14/2020,4,The Babysitter: Killer Queen,Movie,10-Sep-20,4
9/14/2020,5,Get Organized with The Home…,TV Show,9-Sep-20,5
9/14/2020,6,The Social Dilemma,Movie,9-Sep-20,4
9/14/2020,7,Cuties,Movie,9-Sep-20,3
9/14/2020,8,#Alive,Movie,8-Sep-20,6
9/14/2020,9,Girlfriends,TV Show,11-Sep-20,3
9/14/2020,10,Julie and the Phantoms,TV Show,10-Sep-20,3
9/15/2020,1,Away,TV Show,4-Sep-20,11
9/15/2020,2,Pets United,Movie,11-Sep-20,4
